报账点编码,报账点名称,报账点状态,地市,区县,年份,月份,月总标杆,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,1,1074.5096,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.2544,35.1824,35.1824,35.1824,26.5424,26.5424,35.1824,35.1824,
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,2,1106.3104,39.4648,39.4648,39.4648,39.4648,39.4648,39.4648,39.4648,39.4648,39.4648,39.4648,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,39.5368,,,
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,3,1255.872,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512,40.512
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,4,1434.696,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,41.996,59.42,94.46,94.46,94.46,
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,5,2979.5216,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136,96.1136
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,6,3128.268,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,104.2756,,
ZDBZD-JS-2019-103102,陈堡花沈搬迁,启用,泰州,兴化市,2026,7,3473.736,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056,112.056
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,1,3943.0512,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.32,130.32,130.32,78.48,78.48,130.32,130.32,
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,2,3656.736,130.32,130.32,130.32,130.32,130.32,130.32,130.32,130.32,130.32,130.32,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,,,
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,3,3923.712,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,130.752,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,4,3490.56,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,5,3606.912,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,6,3490.56,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,,
ZDBZD-JS-2020-014387,巨腾药业,启用,泰州,高港区,2026,7,3923.36,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,116.352,,116.352,116.352,144.192,144.192,144.192,144.192,144.192,144.192,144.192,144.192,144.192,144.192,144.192
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,1,2926.152,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,97.92,97.92,97.92,37.44,37.44,97.92,97.92,97.92
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,2,2750.832,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,,,
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,3,3051.144,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,4,2952.72,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,5,3051.144,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,6,2952.72,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,,
ZDBZD-JS-2024-059889,张甸角钢塔,启用,泰州,姜堰区,2026,7,2999.56,98.424,98.424,98.424,98.424,85.944,85.944,85.944,85.944,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424,98.424
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,1,2628.0312,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,82.8,82.8,82.8,61.92,61.92,82.8,82.8,
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,2,2319.696,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,,,
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,3,2569.032,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,4,2525.04,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,82.872,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,5,2702.952,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,6,2615.76,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,,
ZDBZD-JS-2025-002255,鑫龙家园莲花六号小区位置点,启用,泰州,海陵区,2026,7,2702.952,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192,87.192
